58	64	2	0
118	56	2	0
217	4	4	0
181	12	6	0
29	78	8	0
140	4	8	0
234	176	10	0
323	4	10	0
107	63	12	0
18	78	14	0
157	64	16	0
175	183	16	0
319	161	16	0
34	124	18	0
35	72	18	0
65	169	18	0
106	15	18	0
359	109	18	0
81	27	22	0
54	162	24	0
124	38	24	0
244	18	24	0
347	131	24	0
363	37	24	0
91	27	26	0
324	53	26	0
52	169	28	0
251	4	32	0
180	154	36	0
222	93	36	0
187	11	38	0
120	82	40	0
204	38	40	0
54	171	44	0
75	41	48	0
286	13	56	0
260	138	60	0
214	162	74	0
216	18	76	0
225	147	76	0
134	109	80	0
289	7	80	0
273	11	84	0
190	117	90	0
130	78	96	0
79	42	8	2
39	173	24	2
160	17	40	2
299	159	74	2
262	21	80	2
239	127	0	4
290	117	0	4
169	41	6	4
168	72	10	4
224	53	12	4
351	98	16	4
75	127	24	4
238	72	24	4
270	21	24	4
271	162	30	4
50	127	36	4
354	82	38	4
101	87	40	4
310	113	46	4
311	162	46	4
201	143	54	4
60	117	56	4
80	8	58	4
294	12	58	4
113	41	60	4
141	23	60	4
124	56	64	4
261	143	70	4
160	142	82	4
295	158	84	4
305	11	90	4
49	11	40	6
269	161	42	6
60	64	16	7
144	79	44	7
91	34	50	7
318	78	52	7
218	18	54	7
209	18	66	7
273	109	74	7
274	63	80	7
374	146	0	8
78	146	2	8
213	161	4	8
127	71	6	8
320	26	6	8
70	117	10	8
209	11	10	8
331	42	10	8
267	72	12	8
174	72	14	8
269	117	14	8
71	27	16	8
324	72	20	8
209	117	24	8
306	12	54	8
268	162	64	8
245	102	66	8
137	191	74	8
190	56	74	8
201	42	90	8
363	109	4	9
215	111	10	9
304	66	10	9
130	171	16	9
89	34	58	9
215	156	68	9
11	23	2	11
75	34	4	11
32	78	8	11
43	34	8	11
189	33	16	11
79	78	30	11
110	49	30	11
149	35	60	11
105	35	78	11
180	18	2	13
19	123	6	13
351	111	6	13
244	140	20	13
85	24	52	13
207	25	68	13
240	72	0	15
241	162	0	15
296	71	0	15
210	82	6	15
189	41	10	15
205	158	10	15
250	53	10	15
331	117	12	15
251	117	20	15
270	71	26	15
165	177	30	15
240	101	30	15
314	72	34	15
190	18	36	15
287	109	36	15
141	169	42	15
170	72	66	15
166	64	90	15
131	94	94	15
190	63	96	15
107	109	102	15
176	79	106	15
366	80	16	17
114	146	26	17
168	55	38	17
21	83	4	19
235	117	4	19
15	42	10	19
160	57	10	19
55	83	20	19
364	146	24	19
117	158	60	19
40	87	16	21
29	41	26	21
228	144	82	21
230	109	4	22
279	153	10	22
95	108	18	22
79	33	26	22
61	34	30	22
224	109	44	22
193	109	68	22
289	109	68	22
103	63	82	22
123	26	8	23
24	71	14	23
360	86	38	23
320	86	42	23
250	87	56	23
131	162	110	23
92	64	4	24
274	66	94	24
41	19	37	25
80	127	6	26
220	172	12	26
70	79	18	26
30	172	26	26
133	34	68	26
219	64	74	26
100	48	80	26
29	70	20	28
77	66	30	28
281	94	10	30
318	34	12	30
51	169	16	30
59	41	16	30
81	139	22	30
55	109	24	30
244	123	26	30
240	123	30	30
50	117	36	30
149	108	36	30
149	116	40	30
213	37	40	30
98	52	44	30
280	109	52	30
94	101	64	30
209	37	70	30
120	48	78	30
274	117	96	30
120	86	110	30
310	56	0	32
99	37	4	32
85	111	8	32
144	95	12	32
33	37	20	32
143	39	38	32
106	162	78	32
261	117	80	32
316	68	0	34
143	161	4	34
305	38	10	34
99	71	16	34
24	127	18	34
248	87	18	34
50	22	24	34
51	42	26	34
80	68	30	34
244	52	40	34
228	127	88	34
227	68	90	34
187	78	6	37
77	78	24	37
270	63	46	37
109	109	48	37
238	79	74	37
184	87	0	38
150	56	6	38
100	101	20	38
119	102	28	38
351	41	42	38
324	81	0	39
59	123	0	41
40	83	10	41
45	82	20	41
354	67	26	41
188	53	30	41
169	158	58	41
187	63	64	41
146	109	72	41
97	35	36	43
97	84	64	43
132	109	118	43
160	138	0	45
36	49	2	45
76	146	12	45
336	113	12	45
189	64	26	45
57	68	42	45
254	83	44	45
121	72	46	45
244	117	46	45
105	80	58	45
284	79	64	45
163	86	86	45
144	49	88	45
223	131	74	47
217	110	78	47
104	113	94	47
280	113	4	49
144	71	10	49
113	86	18	49
49	116	40	49
184	57	110	49
267	64	22	52
340	138	24	52
110	64	38	52
157	123	62	52
44	131	24	53
85	87	54	53
185	81	4	54
176	138	38	54
202	64	8	56
80	138	26	56
368	84	18	58
350	82	6	60
93	123	24	60
269	64	84	60
198	64	92	60
67	96	32	62
151	96	64	62
330	68	52	64
124	93	0	67
47	109	36	67
56	93	42	67
41	72	28	68
84	117	54	68
157	81	46	69
224	97	4	71
88	93	44	71
178	79	24	75
115	117	26	75
229	78	42	75
203	82	44	75
75	109	54	75
220	79	54	75
154	79	74	75
228	87	88	75
47	84	4	77
230	87	6	79
334	83	52	79
261	94	40	82
225	102	110	83
153	112	20	86
